,distance,elapsed_time,elevation_difference,moving_time,split,average_speed,average_grade_adjusted_speed,pace_zone
0,1002.8,390,5.4,6.5,1,9.25,2.71,0
1,1001.0,381,-2.6,6.35,2,9.47,2.74,0
2,996.8,377,-0.6,6.28,3,9.5,2.79,0
3,999.5,391,-5.1,6.47,4,9.29,2.64,0
4,1001.0,377,4.5,6.23,5,9.65,2.87,0
5,558.2,191,-3.1,3.1,6,10.8,3.02,0
